Gene 	Pathway 
RB1	cell_cycle
CDKN2C	cell_cycle
CDKN2B	cell_cycle
CDKN2A	cell_cycle
CDKN1B	cell_cycle
CDKN1A	cell_cycle
E2F3	cell_cycle
E2F1	cell_cycle
CDK6	cell_cycle
CDK4	cell_cycle
CDK2	cell_cycle
CCNE1	cell_cycle
CCND3	cell_cycle
CCND2	cell_cycle
CCND1	cell_cycle
DHCR24	chol
PMVK	chol
MSMO1	chol
HMGCS1	chol
ACAT1	chol
IDI1	chol
LBR	chol
FDFT1	chol
ACAT2	chol
HMGCR	chol
DHCR7	chol
FDPS	chol
LSS	chol
SQLE	chol
TM7SF2	chol
NSDHL	chol
CYP51A1	chol
IDI2	chol
EBP	chol
SC5D	chol
MVD	chol
MVK	chol
HMGCS2	chol
HSD17B7	chol
ACADVL	fabo
ACADS	fabo
DECR1	fabo
ACADM	fabo
ACAA2	fabo
ECI1	fabo
HADHA	fabo
ECI2	fabo
HADHB	fabo
HADH	fabo
CPT1B	fabo
CPT1A	fabo
ECHS1	fabo
SLC25A20	fabo
CPT2	fabo
ACADL	fabo
HK1	glycolysis
HK2	glycolysis
HK3	glycolysis
GCK	glycolysis
GPI	glycolysis
PFKL	glycolysis
PFKM	glycolysis
PFKP	glycolysis
PFKFB1	glycolysis
PFKFB2	glycolysis
PFKFB3	glycolysis
PFKFB4	glycolysis
ALDOA	glycolysis
ALDOB	glycolysis
ALDOC	glycolysis
TPI1	glycolysis
GAPDH	glycolysis
PGK1	glycolysis
PGAM1	glycolysis
PGAM4	glycolysis
ENO1	glycolysis
ENO2	glycolysis
ENO3	glycolysis
PKM	glycolysis
PKLR	glycolysis
YAP1	hippo
WWTR1	hippo
TEAD2	hippo
STK4	hippo
STK3	hippo
SAV1	hippo
LATS1	hippo
LATS2	hippo
MOB1A	hippo
MOB1B	hippo
PTPN14	hippo
NF2	hippo
WWC1	hippo
TAOK1	hippo
TAOK2	hippo
TAOK3	hippo
CRB1	hippo
CRB2	hippo
CRB3	hippo
FAT1	hippo
FAT2	hippo
FAT3	hippo
FAT4	hippo
DCHS1	hippo
DCHS2	hippo
CSNK1E	hippo
CSNK1D	hippo
MRPL1	mito_cyto_rp
MRPL2	mito_cyto_rp
MRPL3	mito_cyto_rp
MRPL4	mito_cyto_rp
MRPL9	mito_cyto_rp
MRPL10	mito_cyto_rp
MRPL11	mito_cyto_rp
MRPL12	mito_cyto_rp
MRPL13	mito_cyto_rp
MRPL14	mito_cyto_rp
MRPL15	mito_cyto_rp
MRPL16	mito_cyto_rp
MRPL17	mito_cyto_rp
MRPL18	mito_cyto_rp
MRPL19	mito_cyto_rp
MRPL20	mito_cyto_rp
MRPL21	mito_cyto_rp
MRPL22	mito_cyto_rp
MRPL23	mito_cyto_rp
MRPL24	mito_cyto_rp
MRPL27	mito_cyto_rp
MRPL28	mito_cyto_rp
MRPL30	mito_cyto_rp
MRPL32	mito_cyto_rp
MRPL33	mito_cyto_rp
MRPL34	mito_cyto_rp
MRPL35	mito_cyto_rp
MRPL36	mito_cyto_rp
MRPL37	mito_cyto_rp
MRPL38	mito_cyto_rp
MRPL39	mito_cyto_rp
MRPL40	mito_cyto_rp
MRPL41	mito_cyto_rp
MRPL42	mito_cyto_rp
MRPL43	mito_cyto_rp
MRPL44	mito_cyto_rp
MRPL45	mito_cyto_rp
MRPL46	mito_cyto_rp
MRPL47	mito_cyto_rp
MRPL48	mito_cyto_rp
MRPL49	mito_cyto_rp
MRPL50	mito_cyto_rp
MRPL51	mito_cyto_rp
MRPL52	mito_cyto_rp
MRPL53	mito_cyto_rp
MRPL54	mito_cyto_rp
MRPL55	mito_cyto_rp
MRPL57	mito_cyto_rp
MRPS2	mito_cyto_rp
MRPS5	mito_cyto_rp
MRPS6	mito_cyto_rp
MRPS7	mito_cyto_rp
MRPS9	mito_cyto_rp
MRPS10	mito_cyto_rp
MRPS11	mito_cyto_rp
MRPS12	mito_cyto_rp
MRPS14	mito_cyto_rp
MRPS15	mito_cyto_rp
MRPS16	mito_cyto_rp
MRPS17	mito_cyto_rp
MRPS18A	mito_cyto_rp
MRPS18B	mito_cyto_rp
MRPS18C	mito_cyto_rp
MRPS21	mito_cyto_rp
MRPS22	mito_cyto_rp
MRPS23	mito_cyto_rp
MRPS24	mito_cyto_rp
MRPS25	mito_cyto_rp
MRPS26	mito_cyto_rp
MRPS27	mito_cyto_rp
MRPS28	mito_cyto_rp
DAP3	mito_cyto_rp
MRPS30	mito_cyto_rp
MRPS31	mito_cyto_rp
MRPS33	mito_cyto_rp
MRPS34	mito_cyto_rp
MRPS35	mito_cyto_rp
MRPS36	mito_cyto_rp
RPL10	mito_cyto_rp
RPL10A	mito_cyto_rp
RPL11	mito_cyto_rp
RPL12	mito_cyto_rp
RPL13	mito_cyto_rp
RPL13A	mito_cyto_rp
RPL14	mito_cyto_rp
RPL15	mito_cyto_rp
