Abrv	Full
LAML	Acute_Myeloid_Leukemia_Marrow
ACC	Adrenocortical_Carcinoma
BLCA	Bladder_Urothelial_Carcinoma
LGG	Brain_Lower_Grade_Glioma
BRCA	Breast_Invasive_Carcinoma
CHOL	Cholangiocarcinoma
COAD	Colon_Adenocarcinoma
ESCA	Esophageal_Carcinoma
GBM	Glioblastoma_Multiforme
HNSC	Head_and_Neck_Squamous_Cell_Carcinoma
KICH	Kidney_Chromophobe
KIRC	Kidney_Renal_Clear_Cell_Carcinoma
KIRP	Kidney_Renal_Papillary_Cell_Carcinoma
LIHC	Liver_Hepatocellular_Carcinoma
LUAD	Lung_Adenocarcinoma
LUSC	Lung_Squamous_Cell_Carcinoma
DLBC	Lymphoid_Neoplasm_Diffuse_Large_B-cell_Lymphoma
MESO	Mesothelioma
OV	Ovarian_Serous_Cystadenocarcinoma
PAAD	Pancreatic_Adenocarcinoma
PCPG	Pheochromocytoma_and_Paraganglioma
PRAD	Prostate_Adenocarcinoma
READ	Rectum_Adenocarcinoma
SARC	Sarcoma
SKCM	Skin_Cutaneous_Melanoma_metastatic
STAD	Stomach_Adenocarcinoma
TGCT	Testicular_Germ_Cell_Tumors
THYM	Thymoma
THCA	Thyroid_Carcinoma
UCS	Uterine_Carcinosarcoma
UCEC	Uterine_Corpus_Endometrial_Carcinoma
UVM	Uveal_Melanoma
